x y
796.3347291561427 503.3972955419187
805.3493590520063 504.9547047694459
1405.571504216866 1495.8870050155924
400.3194939012806 1303.8486933939678
397.6520178645264 1308.8666539508315
1004.0791249814604 1408.5588659601021
1205.199689393728 891.3727658270167
1387.6142052413934 1494.1931872235675
814.63342819262 499.73872498572365
398.9302994249223 1292.268908770954
1478.3218135453033 598.9584734136977
1503.89930616484 598.6277601325121
1490.4903634624695 611.323122119762
1192.6994815453972 904.069962261603
1505.86014300917 593.0651304071197
1181.17652377733 895.7524226102494
1215.8069729430074 931.1498866810376
1398.7529612166993 1500.0226295526963
1196.8127813627825 891.1022625893208
1389.6598597004916 1503.00458163219
405.8809801642581 1316.7235992696526
1174.853312692826 898.8209158872123
1394.1423727842648 1496.4776744320086
1004.6370277830225 1399.1441544349302
985.7398752807136 1399.5828636414917
995.5032717417604 1399.274596603274
415.4815741822247 1314.4402937383882
1201.1287280855809 901.4449035911335
1192.8812692490712 899.198390848939
1397.1626723157751 1501.4119893988964
1209.2880069788603 917.8147194503853
1509.0524551518758 597.9552888430977
1008.2922195870727 1397.160113959927
1515.8724508006765 600.4502359626027
401.70237290216954 1306.3354013508276
1388.5083968655936 1488.1426975353716
1492.6309865781514 593.2656089195294
808.851315342035 493.9739703358743
809.3394881356634 506.91746224755514
793.2233551150315 497.925130485398
1496.0774750748944 588.9941557847116
1005.0103668198167 1388.6488533449156
802.3923147793023 491.6556765588905
1178.0347317294422 889.1375448952705
1388.0172336575042 1486.0203279249536
992.214772148547 1408.1538273419148
1490.3065736946444 609.4428128353621
1496.0631431883992 585.5347609624712
388.75735822075364 1300.0670201333949
388.26752198852216 1294.9544875479
400.9514772803534 1309.5231573716069
1402.9046411980394 1498.3860074199947
1011.7472078485121 1409.0879518026557
394.9088572495002 1298.6354422739419
1001.7211269195234 1398.9402501276309
1393.582748387918 1509.3734014833667
788.8357007121157 490.3371209367001
995.0819566648815 1396.3460518086044
804.83423688604 494.16572573570915
811.1176715175205 487.18056232958816
