user,date_reg
user_0,2023-01-01
user_1,2023-01-01
user_11,2023-01-02
user_19,2023-01-02
user_25,2023-01-03
user_29,2023-01-03
user_32,2023-01-03
user_33,2023-01-03
user_34,2023-01-03
user_35,2023-01-03
user_36,2023-01-04
user_37,2023-01-04
user_42,2023-01-04
user_48,2023-01-04
user_60,2023-01-05
user_23,2023-01-06
user_71,2023-01-06
user_74,2023-01-07
user_78,2023-01-07
user_79,2023-01-07
user_83,2023-01-08
user_91,2023-01-08
user_92,2023-01-08
user_100,2023-01-09
user_102,2023-01-09
user_95,2023-01-09
user_96,2023-01-09
user_97,2023-01-09
user_115,2023-01-10
user_73,2023-01-10
user_93,2023-01-10
user_118,2023-01-11
user_122,2023-01-11
user_127,2023-01-11
user_128,2023-01-11
user_46,2023-01-11
user_6,2023-01-11
user_136,2023-01-12
user_80,2023-01-13
user_84,2023-01-13
user_161,2023-01-14
user_162,2023-01-14
user_132,2023-01-15
user_14,2023-01-15
user_174,2023-01-15
user_67,2023-01-16
user_159,2023-01-17
user_52,2023-01-17
user_196,2023-01-18
user_197,2023-01-18
user_200,2023-01-18
user_110,2023-01-19
user_172,2023-01-19
user_184,2023-01-19
user_211,2023-01-19
user_219,2023-01-19
user_123,2023-01-20
user_170,2023-01-20
user_185,2023-01-20
user_192,2023-01-20
user_226,2023-01-20
user_227,2023-01-20
user_126,2023-01-21
user_138,2023-01-21
user_142,2023-01-21
user_198,2023-01-21
user_233,2023-01-21
user_235,2023-01-21
user_237,2023-01-21
user_245,2023-01-21
user_251,2023-01-22
user_254,2023-01-22
user_256,2023-01-22
user_65,2023-01-22
user_212,2023-01-24
user_273,2023-01-24
user_45,2023-01-24
user_223,2023-01-25
user_283,2023-01-25
user_287,2023-01-25
user_117,2023-01-26
user_139,2023-01-26
user_157,2023-01-26
user_261,2023-01-26
user_290,2023-01-26
user_291,2023-01-26
user_206,2023-01-27
user_311,2023-01-27
user_306,2023-01-28
user_315,2023-01-28
user_319,2023-01-28
user_255,2023-01-29
user_335,2023-01-29
user_69,2023-01-29
user_81,2023-01-29
user_168,2023-01-30
user_274,2023-01-30
user_330,2023-01-30
user_341,2023-01-30
user_344,2023-01-30
user_247,2023-01-31
user_275,2023-01-31
user_304,2023-01-31
user_349,2023-01-31
user_108,2023-02-01
user_362,2023-02-01
user_13,2023-02-02
user_301,2023-02-02
user_372,2023-02-02
user_377,2023-02-02
user_378,2023-02-02
user_381,2023-02-02
user_47,2023-02-02
user_204,2023-02-03
user_286,2023-02-03
user_383,2023-02-03
user_384,2023-02-03
user_385,2023-02-03
user_386,2023-02-03
user_394,2023-02-03
user_336,2023-02-04
user_363,2023-02-04
user_403,2023-02-04
user_405,2023-02-04
user_12,2023-02-05
user_248,2023-02-05
user_412,2023-02-05
user_414,2023-02-05
user_416,2023-02-05
user_417,2023-02-05
user_418,2023-02-05
user_269,2023-02-06
user_358,2023-02-06
user_433,2023-02-06
user_218,2023-02-07
user_295,2023-02-07
user_440,2023-02-07
user_445,2023-02-07
user_50,2023-02-07
user_61,2023-02-07
user_64,2023-02-07
user_446,2023-02-08
user_448,2023-02-08
user_450,2023-02-08
user_451,2023-02-08
user_454,2023-02-08
user_455,2023-02-08
user_85,2023-02-08
user_348,2023-02-09
user_409,2023-02-09
user_457,2023-02-09
user_460,2023-02-09
user_463,2023-02-09
user_465,2023-02-09
user_137,2023-02-10
user_17,2023-02-10
user_313,2023-02-10
user_347,2023-02-10
user_376,2023-02-10
user_462,2023-02-10
user_476,2023-02-10
user_477,2023-02-10
user_487,2023-02-11
user_300,2023-02-12
user_436,2023-02-12
user_495,2023-02-12
user_497,2023-02-12
user_59,2023-02-12
user_220,2023-02-13
user_472,2023-02-13
user_491,2023-02-13
user_501,2023-02-13
user_508,2023-02-13
user_135,2023-02-14
user_152,2023-02-14
user_173,2023-02-14
user_316,2023-02-14
user_398,2023-02-14
user_404,2023-02-14
user_514,2023-02-14
user_517,2023-02-14
user_520,2023-02-14
user_524,2023-02-14
user_415,2023-02-15
user_493,2023-02-15
