r,phi,peradventure_index,dustiness,black_hole_is_near,buggers_were_noticed,nearby_system_has_planemo,dangerous
169.10000000000002,138.0,22.321200000000005,0.7062848008684876,0,1,1,1
11.100000000000001,148.0,1.4652000000000003,-0.4105117434069989,1,1,1,1
274.6,201.0,36.24720000000001,0.756457324104684,1,1,1,1
172.8,173.0,22.809600000000003,0.035221322679308144,1,1,1,1
223.3,222.0,29.475600000000004,0.1972708862049283,0,1,1,1
206.60000000000002,13.0,27.271200000000004,-0.23359247594270527,0,1,1,1
293.0,263.0,38.676,-0.8707808385088925,0,1,1,1
83.10000000000001,205.0,10.969200000000003,0.9258094818272387,0,1,1,1
53.0,305.0,6.996,0.3271222278796078,0,1,1,1
35.1,189.0,4.6332,-0.7269619627331367,0,1,1,1
62.7,338.0,8.2764,-1.3613402786224331,0,1,1,1
7.4,176.0,0.9768000000000001,-1.5672510171075573,0,1,1,1
232.4,255.0,30.676800000000004,0.9636738719609429,0,1,1,1
37.4,274.0,4.9368,-1.3761505286370885,0,1,1,1
307.40000000000003,336.0,40.576800000000006,-0.029290553018778805,0,1,1,1
161.70000000000002,31.0,21.344400000000004,0.2944956737959011,0,1,1,1
266.1,199.0,35.12520000000001,-0.038770314675029685,0,1,1,1
157.10000000000002,67.0,20.737200000000005,0.7581301432005185,1,1,1,1
7.300000000000001,67.0,0.9636000000000001,-0.7881245047084706,0,1,1,1
247.10000000000002,72.0,32.617200000000004,0.9533361783413047,0,1,1,1
190.0,106.0,25.080000000000002,0.5351210812338172,0,1,1,1
77.60000000000001,108.0,10.243200000000002,-0.6479833043329655,1,1,1,1
194.8,80.0,25.713600000000003,0.4727691954078751,0,1,1,1
330.5,9.0,43.626000000000005,-1.3158778410808392,0,1,1,1
328.0,211.0,43.296,1.3881607215431566,0,1,1,1
155.9,137.0,20.5788,1.7414013639926145,1,1,1,1
254.10000000000002,244.0,33.5412,-0.3289061862570545,0,1,1,1
198.3,191.0,26.175600000000003,0.036899975118043965,0,1,1,1
302.3,122.0,39.903600000000004,0.3145869027073051,0,1,1,1
211.3,9.0,27.891600000000004,-0.5785211617690761,0,1,1,1
260.7,278.0,34.4124,1.5626229895500856,0,1,1,0
227.9,357.0,30.082800000000002,0.6703647289933226,0,1,1,1
202.8,136.0,26.769600000000004,1.3290910894610741,0,1,1,1
285.5,354.0,37.686,-0.8707738989400147,0,1,1,1
232.0,125.0,30.624000000000002,0.08898383969293638,0,1,1,1
51.2,260.0,6.758400000000001,2.066336993415514,0,1,1,1
86.4,191.0,11.404800000000002,2.0336501181963746,1,1,1,1
273.3,323.0,36.0756,-0.3396912345162711,0,0,1,1
208.5,168.0,27.522000000000002,1.420523376858995,0,1,1,1
82.30000000000001,138.0,10.863600000000002,0.5895989687124685,0,0,1,0
38.800000000000004,8.0,5.121600000000001,-0.8220220461783541,0,1,1,1
267.8,184.0,35.3496,-0.3976757015025118,0,1,1,1
23.3,221.0,3.0756,-0.7885636553831538,0,1,1,1
181.8,105.0,23.997600000000002,-2.3409192820792684,0,1,1,1
293.5,142.0,38.742000000000004,-0.9958492255211973,0,1,1,1
168.0,104.0,22.176000000000002,0.4348508105646972,1,1,1,1
119.4,232.0,15.760800000000001,-1.5239712918485964,0,1,1,1
94.2,76.0,12.4344,0.5774730077509823,0,1,1,1
260.1,222.0,34.333200000000005,-0.036069486070455195,0,1,1,1
161.20000000000002,314.0,21.278400000000005,-1.4851820412047396,0,1,1,1
91.7,29.0,12.104400000000002,0.12496934106577354,0,1,1,1
110.4,222.0,14.5728,1.638694189078621,0,0,1,1
229.10000000000002,292.0,30.241200000000003,-0.09450894323880682,0,1,0,0
9.9,269.0,1.3068000000000002,-0.6560542119650082,0,1,1,1
333.90000000000003,217.0,44.0748,0.987273218884869,0,1,1,1
79.30000000000001,144.0,10.467600000000003,0.9240807626483399,1,1,1,1
317.1,79.0,41.857200000000006,-0.9498249456531325,0,1,1,1
160.9,18.0,21.2388,0.14556513597708362,0,1,1,1
224.0,307.0,29.568,0.577462250574657,0,1,1,1
322.5,20.0,42.57,-0.9461276325658948,0,1,1,1
114.60000000000001,311.0,15.127200000000002,-0.0915614122345283,0,1,1,1
238.4,307.0,31.4688,0.41221442125143215,0,1,1,1
26.0,266.0,3.4320000000000004,0.4174005505818731,1,1,1,1
338.5,253.0,44.682,0.6721070505168559,0,1,1,1
189.9,350.0,25.0668,0.003511813347700796,0,1,1,1
298.40000000000003,353.0,39.3888,0.7185421005544604,0,1,1,1
192.3,78.0,25.3836,-0.7461926051436789,0,1,1,0
70.0,172.0,9.24,0.9562546884859614,0,1,1,1
326.70000000000005,71.0,43.12440000000001,0.2975475413475996,0,1,1,1
303.8,34.0,40.101600000000005,0.2409421003445013,0,1,1,1
165.8,275.0,21.885600000000004,0.49652521180799747,0,1,1,1
191.10000000000002,75.0,25.225200000000005,-0.5644875298404788,0,1,1,1
55.300000000000004,187.0,7.299600000000001,-1.2361056463599978,0,1,1,1
249.5,191.0,32.934000000000005,0.23451137610845152,0,1,1,1
248.4,34.0,32.7888,1.1956505964224196,0,1,1,1
68.9,152.0,9.094800000000001,0.6550921968485652,0,1,1,1
226.4,15.0,29.884800000000002,0.009995749683439392,0,1,1,1
213.5,218.0,28.182000000000002,-0.11891904181322246,0,1,1,1
94.5,343.0,12.474,0.7851410497415772,0,1,1,1
214.20000000000002,52.0,28.274400000000004,1.4440355706324137,0,1,1,1
92.30000000000001,265.0,12.183600000000002,-1.6611665516727585,0,1,1,1
152.3,24.0,20.103600000000004,-0.25283802561615765,0,1,1,1
96.80000000000001,289.0,12.777600000000001,1.265010304603614,1,1,1,1
12.9,304.0,1.7028,0.13711282953432818,0,0,1,0
95.7,249.0,12.6324,0.6344348418702512,0,1,1,1
310.0,83.0,40.92,-0.925276791822369,1,1,1,1
302.8,218.0,39.96960000000001,-0.5724725134798773,0,1,1,1
37.800000000000004,350.0,4.989600000000001,0.3183092956910139,0,1,1,1
179.20000000000002,232.0,23.654400000000003,-0.818144205500728,0,1,1,1
206.3,112.0,27.231600000000004,1.9688982621128486,1,1,1,1
92.30000000000001,345.0,12.183600000000002,-0.6529877477357374,0,1,1,1
28.900000000000002,228.0,3.8148000000000004,-1.072846285784317,0,0,1,0
2.6,134.0,0.3432,-0.8011556530273348,0,1,1,1
78.10000000000001,195.0,10.309200000000002,-1.4001829544458961,0,1,1,1
185.60000000000002,201.0,24.499200000000005,-1.7909391354501918,0,1,1,1
146.9,343.0,19.390800000000002,0.5637749424962988,0,1,1,1
51.7,353.0,6.824400000000001,1.0108522507272097,0,1,1,1
3.5,306.0,0.462,-3.3286491669741,0,1,1,1
327.70000000000005,185.0,43.256400000000006,1.733338340812098,0,1,1,1
191.4,257.0,25.2648,0.6131056121857017,0,0,1,1
162.70000000000002,340.0,21.4764,-0.9871903147037737,0,1,1,1
13.700000000000001,200.0,1.8084000000000002,2.255576233001759,0,1,1,1
121.10000000000001,350.0,15.985200000000003,1.9843331702356075,0,1,1,1
330.1,230.0,43.57320000000001,1.5154999418435702,0,1,1,1
170.8,118.0,22.545600000000004,-0.6392769950464415,1,1,1,1
181.5,226.0,23.958000000000002,0.8604546802130544,0,1,1,1
46.6,353.0,6.1512,0.8730198529772881,0,0,1,0
277.0,167.0,36.564,0.3594743568885277,0,1,1,1
332.40000000000003,298.0,43.87680000000001,1.2774412064317597,0,1,1,1
10.200000000000001,212.0,1.3464000000000003,2.047312552650389,0,1,1,0
297.1,186.0,39.217200000000005,-0.05066489556094918,0,0,1,1
228.8,64.0,30.201600000000003,0.4373219706240669,0,1,1,1
4.7,353.0,0.6204000000000001,-0.0670871683783403,0,0,1,0
113.0,288.0,14.916,-0.05476043815697029,0,1,0,0
209.5,16.0,27.654,-2.1956386167844326,0,1,1,1
57.7,186.0,7.6164000000000005,-1.0177746711736264,0,1,1,1
235.4,148.0,31.0728,-1.2174645320323125,0,1,1,1
223.4,121.0,29.4888,1.7358429251238943,0,1,1,1
73.3,196.0,9.6756,1.2513679354172975,0,1,1,1
266.0,103.0,35.112,-0.9699226538181505,0,1,1,1
179.70000000000002,252.0,23.720400000000005,-0.502103330831533,0,1,1,1
301.2,119.0,39.7584,0.13114434917186302,0,1,1,1
276.3,154.0,36.4716,-0.8252530228665215,0,1,1,1
237.20000000000002,278.0,31.310400000000005,-0.8834376594679654,0,1,1,1
150.3,321.0,19.8396,0.5222767924545105,0,1,1,1
342.6,204.0,45.223200000000006,1.3650836595378155,0,1,1,1
173.4,289.0,22.888800000000003,0.003243016495068835,0,1,1,1
279.90000000000003,231.0,36.9468,1.0992607636032299,0,1,1,1
303.8,47.0,40.101600000000005,-0.44360195663039725,0,1,1,1
237.4,59.0,31.336800000000004,0.544751576798161,0,1,1,1
20.200000000000003,353.0,2.6664000000000003,-0.25999312046885265,0,1,1,1
174.8,335.0,23.073600000000003,0.42092825039614923,0,1,1,1
320.8,53.0,42.345600000000005,0.21686800506455847,0,1,1,1
122.60000000000001,334.0,16.183200000000003,0.25702682221132583,1,1,1,1
101.4,211.0,13.384800000000002,-0.9633730822726436,0,1,1,1
293.6,55.0,38.7552,1.7110045037028696,0,1,1,1
192.10000000000002,266.0,25.357200000000006,-1.8098938359763228,0,1,1,1
27.0,50.0,3.564,-0.8507132229187144,0,1,1,1
323.40000000000003,88.0,42.68880000000001,-1.1523408243476763,0,1,1,1
145.3,247.0,19.1796,0.7902731803842874,0,1,1,1
181.0,26.0,23.892,-1.2690066661875912,0,1,1,1
339.40000000000003,47.0,44.80080000000001,0.4923700407687642,0,1,1,1
262.1,112.0,34.59720000000001,0.3364403117549815,0,1,1,1
74.7,1.0,9.8604,1.1673282491565804,0,1,1,1
174.8,40.0,23.073600000000003,0.2050725494340832,0,1,1,1
82.0,167.0,10.824,-0.9914079844608041,0,1,1,1
221.4,347.0,29.224800000000002,1.1624275862498448,0,1,1,1
325.1,290.0,42.9132,0.5156092442425569,0,1,1,0
242.3,31.0,31.983600000000003,0.4245395390848488,0,1,1,1
330.6,38.0,43.6392,-0.5658172735170828,0,1,1,1
270.5,22.0,35.706,-0.6291677353667613,0,1,1,1
