iter	MAE
0	3.085917822
1	2.992750168
2	2.903071797
3	2.814428568
4	2.730374224
5	2.646647654
6	2.565432914
7	2.488795344
8	2.412380341
9	2.339327473
10	2.267428595
11	2.197829342
12	2.130590202
13	2.065231511
14	2.003252247
15	1.942769518
16	1.883457439
17	1.827131562
18	1.771139656
19	1.717495437
20	1.664880208
21	1.614518142
22	1.565431547
23	1.520300062
24	1.474363245
25	1.429434311
26	1.385853242
27	1.343833985
28	1.302996426
29	1.264901551
30	1.226543697
31	1.189377669
32	1.153832815
33	1.119988313
34	1.088522043
35	1.057503583
36	1.027207683
37	0.9981044874
38	0.9697796649
39	0.9422700975
40	0.9154690616
41	0.8905114089
42	0.8667460068
43	0.8421877876
44	0.8185178483
45	0.7953543762
46	0.7736855225
47	0.7521537524
48	0.7322839537
49	0.7134219861
50	0.6957415243
51	0.6791742727
52	0.6629627347
53	0.6475258426
54	0.6332122941
55	0.6186498633
56	0.6045463517
57	0.5909138456
58	0.5781290658
59	0.5659245278
60	0.5534643699
61	0.5420874027
62	0.5318974692
63	0.5227862109
64	0.514333378
65	0.5062084275
66	0.4988928954
67	0.4917935883
68	0.4855605178
69	0.4797152805
70	0.4741199021
71	0.4685785227
72	0.4633070154
73	0.458297352
74	0.4531973181
75	0.4484279283
76	0.4438314421
77	0.4390274158
78	0.4347762044
79	0.4305828607
80	0.4268699367
81	0.4227932412
82	0.4189666285
83	0.4157139884
84	0.4124091572
85	0.4095405791
86	0.4068165764
87	0.4044363496
88	0.4022435195
89	0.4002399982
90	0.3981566156
91	0.3958989474
92	0.3936397726
93	0.392070237
94	0.3899165503
95	0.3886622747
96	0.386502837
97	0.3848146917
98	0.3832282556
99	0.381538734
100	0.3798839149
101	0.3784144816
102	0.3772887569
103	0.3762353722
104	0.3747549638
105	0.3731972209
106	0.3720549242
107	0.3707061205
108	0.3694554659
109	0.3681708251
110	0.3671724418
111	0.3663926569
112	0.3655261681
113	0.3646148021
114	0.3638975389
115	0.3629665225
116	0.3620166733
117	0.361320293
118	0.3607821666
119	0.3602668492
120	0.3595239631
121	0.3587707167
122	0.3583389384
123	0.3576663731
124	0.3570099096
125	0.3562008462
126	0.3553853056
127	0.3548972325
128	0.3541514315
129	0.35387918
130	0.3533845393
131	0.3529474178
132	0.3525216432
133	0.3520122949
134	0.3515757916
135	0.3511148929
136	0.3506695192
137	0.350272957
138	0.3498735886
139	0.3494170167
140	0.3489093898
141	0.3485846602
142	0.3482900986
143	0.3479870327
144	0.3475392758
145	0.3472862622
146	0.3470679401
147	0.3465887569
148	0.3462744531
149	0.345916011
150	0.3457158586
151	0.3454427852
152	0.345073924
153	0.3448244884
154	0.3445363639
155	0.3442935528
156	0.3438871094
157	0.3436155686
158	0.3433296993
159	0.343060905
160	0.3427637627
161	0.3425150138
162	0.3421860623
163	0.3417994739
164	0.3415174951
165	0.3414420414
166	0.3411973637
167	0.340943787
168	0.3406642382
169	0.3402819894
170	0.3400927555
171	0.3398474559
172	0.3395309232
173	0.3394423724
174	0.3390668607
175	0.3386935757
176	0.3383028449
177	0.3381524381
178	0.3379980842
179	0.3377494356
180	0.3376991124
181	0.337463756
182	0.3372590079
183	0.3370888022
184	0.3369267295
185	0.3366511506
186	0.3364712984
187	0.3363171733
188	0.3360741549
189	0.3358584421
190	0.3356069113
191	0.335369896
192	0.3351960089
193	0.3351609886
194	0.3347927358
195	0.3346720753
196	0.3344888082
197	0.3343702243
198	0.3341518378
199	0.3340060623
200	0.3338700247
201	0.3337108267
202	0.3335572189
203	0.3334396384
204	0.3333050575
205	0.3331035817
206	0.332877835
207	0.3326104191
208	0.3324477083
209	0.3321943434
210	0.3319325228
211	0.3317022797
212	0.3314796949
213	0.3314058596
214	0.3313167486
215	0.3310675015
216	0.3309775641
217	0.3308866273
218	0.3307008288
219	0.33062411
220	0.3304533847
221	0.3303563054
222	0.330057749
223	0.3297800544
224	0.3296923273
225	0.3295097245
226	0.3294420774
227	0.3292931838
228	0.3290744948
229	0.3290072337
230	0.3288791508
231	0.3286939878
232	0.3286004744
233	0.3284145629
234	0.3282567264
235	0.3280436858
236	0.3278898092
237	0.3277441469
238	0.3275416255
239	0.3274065304
240	0.3272193417
241	0.3271183311
242	0.3269214485
243	0.3267187025
244	0.3264690641
245	0.3263069179
246	0.3261073662
247	0.3260331144
248	0.3259117437
249	0.3258827677
250	0.3256635864
251	0.325536224
252	0.3254381866
253	0.3251967323
254	0.3249880334
255	0.3249257713
256	0.3249070273
257	0.3246794979
258	0.3245951744
259	0.3243465625
260	0.3242553226
261	0.3241568807
262	0.3240028726
263	0.3238760282
264	0.3238096483
265	0.3235909536
266	0.3235034179
267	0.3234016257
268	0.323238634
269	0.3232141129
270	0.323096456
271	0.3230671434
272	0.3230170714
273	0.3229342808
274	0.3228510941
275	0.3227518377
276	0.3225818358
277	0.3224203916
278	0.3222453706
279	0.3221433489
280	0.3219007515
281	0.3216679343
282	0.3216036452
283	0.32153271
284	0.3213831494
285	0.3212762338
286	0.3211303887
287	0.3210101616
288	0.3208219709
289	0.3206582108
290	0.3205165314
291	0.3203331967
292	0.3201835434
293	0.3201062012
294	0.3200415431
295	0.3198479688
296	0.3198248016
297	0.3196380272
298	0.3194480124
299	0.3193099561
300	0.319214787
301	0.319073839
302	0.3189738375
303	0.3187817976
304	0.3186655406
305	0.3184886215
306	0.3184016599
307	0.3182311006
308	0.3181395977
309	0.3180622115
310	0.3179941299
311	0.317874294
312	0.3178156706
313	0.3177891869
314	0.3176808277
315	0.3176289435
316	0.3174892654
317	0.3174144772
318	0.3172620207
319	0.3172279082
320	0.3171550019
321	0.3169736857
322	0.3168545758
323	0.3167555081
324	0.3165662573
325	0.316385869
326	0.3162822632
327	0.3162076437
328	0.3160696371
329	0.3158275582
330	0.3157566062
331	0.315689325
332	0.3154893025
333	0.3154267419
334	0.315130968
335	0.3149992165
336	0.3147960066
337	0.3146133172
338	0.3145002037
339	0.3144028249
340	0.3142260124
341	0.3141500967
342	0.3140592485
343	0.3139953611
344	0.3138378765
345	0.3137179977
346	0.313599814
347	0.313510171
348	0.3134436438
349	0.3133320103
350	0.3132092801
351	0.3131077167
352	0.3129270452
353	0.3128611634
354	0.312798026
355	0.3127440408
356	0.3124669788
357	0.312412811
358	0.3122669201
359	0.3122002498
360	0.3120147157
361	0.3119413552
362	0.3119157013
363	0.3118084002
364	0.3117522406
365	0.3115916117
366	0.3113657386
367	0.3112273435
368	0.3111158458
369	0.3110380831
370	0.3109972623
371	0.3108785131
372	0.3107523932
373	0.3106489113
374	0.3105663281
375	0.3103466455
376	0.3101666004
377	0.3100185105
378	0.3099249039
379	0.3097244853
380	0.309575746
381	0.3093825042
382	0.3093757314
383	0.3093302438
384	0.3092023775
385	0.3091506292
386	0.3090031255
387	0.3089414874
388	0.308835001
389	0.3087563128
390	0.3086528125
391	0.30854463
392	0.3084102459
393	0.3083545309
394	0.3081549472
395	0.3079410004
396	0.3078716932
397	0.3077818724
398	0.3077071822
399	0.3075894555
